t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,973,980,2.00,42.7,0,0,300,0,0,0,0,0,1.00,3,141
20,934,837,4.00,42.7,1,0,300,0,0,0,0,0,1.00,3,141
30,776,911,4.00,55.4,1,0,300,0,0,0,0,0,1.00,3,141
40,516,865,4.00,55.4,1,0,300,0,0,0,0,0,1.00,3,141
50,424,579,4.00,55.4,1,0,450,1,0,0,0,0,1.00,3,141
60,351,418,4.00,68.1,1,0,450,1,0,0,1,120,1.00,3,141
70,296,417,4.00,80.8,1,0,450,1,0,0,2,240,1.00,3,141
80,208,0,6.00,80.8,2,0,450,1,0,0,2,240,0.98,3,141
90,170,75,6.00,93.5,2,0,450,1,0,0,3,360,1.00,3,141
100,141,64,6.00,93.5,2,0,450,1,0,0,3,360,1.00,3,141
110,124,171,6.00,93.5,2,0,450,1,0,0,4,490,1.00,3,141
120,108,278,6.00,93.5,2,0,450,1,0,0,5,620,1.00,3,141
130,79,266,6.00,93.5,2,0,450,1,0,0,5,620,1.00,3,141
140,80,404,6.00,93.5,2,0,450,1,0,0,6,750,1.00,3,141
150,84,470,6.00,93.5,2,0,450,1,0,0,7,804,1.00,3,141
160,47,238,6.00,93.5,2,0,450,1,0,0,7,804,1.00,3,141
170,11,6,6.00,93.5,2,0,450,1,0,0,7,804,1.00,3,141
180,0,95,6.00,93.5,2,0,450,1,0,0,8,1074,1.00,3,141
